,url_product,image
36,https://www.jumbo.cl/pizza-americana-deluxe-congelada-660-g-cuisine-and-co-1839874/p,https://jumbo.vteximg.com.br/arquivos/ids/410635-360-360?width=360&height=360&aspect=true
37,https://www.jumbo.cl/pizza-americana-pepperoni-congelada-660-g-cuisine-and-co-1839873/p,https://jumbo.vteximg.com.br/arquivos/ids/410633-360-360?width=360&height=360&aspect=true
38,https://www.jumbo.cl/helado-limon-menta-jengibre-5-un-48-g-c-u/p,https://jumbo.vteximg.com.br/arquivos/ids/346377-360-360?width=360&height=360&aspect=true
39,https://www.jumbo.cl/hamburguesa-de-porotos-negros-400-g/p,https://jumbo.vteximg.com.br/arquivos/ids/325211-360-360?width=360&height=360&aspect=true
40,https://www.jumbo.cl/longaniza-hot-itali-veg-beyond-meat-400g/p,https://jumbo.vteximg.com.br/arquivos/ids/336555-360-360?width=360&height=360&aspect=true
41,https://www.jumbo.cl/pizzeta-mix-congelada-825-g-cuisine-and-co-1772246/p,https://jumbo.vteximg.com.br/arquivos/ids/409943-360-360?width=360&height=360&aspect=true
42,https://www.jumbo.cl/suspiro-limeno-cuk-140-g/p,https://jumbo.vteximg.com.br/arquivos/ids/442291-360-360?width=360&height=360&aspect=true
43,https://www.jumbo.cl/hamburguesa-mollendo-185-g-angus-black-beef/p,https://jumbo.vteximg.com.br/arquivos/ids/324111-360-360?width=360&height=360&aspect=true
44,https://www.jumbo.cl/mix-smoothie-minuto-verde-red-antioxidante-500-g/p,https://jumbo.vteximg.com.br/arquivos/ids/312347-360-360?width=360&height=360&aspect=true
45,https://www.jumbo.cl/pizza-pf-listo-congelada-pepperoni-430-g/p,https://jumbo.vteximg.com.br/arquivos/ids/271879-360-360?width=360&height=360&aspect=true
46,https://www.jumbo.cl/mini-helados-sahne-nuss-savory-5-unid-x-80-ml-c-u/p,https://jumbo.vteximg.com.br/arquivos/ids/434300-360-360?width=360&height=360&aspect=true
47,https://www.jumbo.cl/gyozas-de-camaron-alimentos-shen-300-g/p,https://jumbo.vteximg.com.br/arquivos/ids/319384-360-360?width=360&height=360&aspect=true
48,https://www.jumbo.cl/zapallo-italiano-minuto-verde-500-g-en-rodajas-congelado-2/p,https://jumbo.vteximg.com.br/arquivos/ids/312183-360-360?width=360&height=360&aspect=true
49,https://www.jumbo.cl/helado-savory-1-l-tres-leches/p,https://jumbo.vteximg.com.br/arquivos/ids/424360-360-360?width=360&height=360&aspect=true
50,https://www.jumbo.cl/helado-de-agua-san-francisco-de-loncomilla-1-l-frambuesa/p,https://jumbo.vteximg.com.br/arquivos/ids/464893-360-360?width=360&height=360&aspect=true
51,https://www.jumbo.cl/hamburguesa-de-pollo-receta-del-abuelo-100-g-2/p,https://jumbo.vteximg.com.br/arquivos/ids/426069-360-360?width=360&height=360&aspect=true
52,https://www.jumbo.cl/porotos-con-mazamorra-frutos-del-maipo-bolsa-1-kg/p,https://jumbo.vteximg.com.br/arquivos/ids/423319-360-360?width=360&height=360&aspect=true
53,https://www.jumbo.cl/barra-de-fruta-guallarauco-caja-360-cc-6-unid-chirimoya/p,https://jumbo.vteximg.com.br/arquivos/ids/471722-360-360?width=360&height=360&aspect=true
54,https://www.jumbo.cl/helado-yogen-fr-z-mango-maracuya-800-ml/p,https://jumbo.vteximg.com.br/arquivos/ids/312358-360-360?width=360&height=360&aspect=true
55,https://www.jumbo.cl/mini-quiche-pollo-ciboulette-congelada-360-g-cuisine-and-co-1772248/p,https://jumbo.vteximg.com.br/arquivos/ids/301487-360-360?width=360&height=360&aspect=true
56,https://www.jumbo.cl/hamburguesa-pimientos-asados-tivoni-100g/p,https://jumbo.vteximg.com.br/arquivos/ids/288094-360-360?width=360&height=360&aspect=true
57,https://www.jumbo.cl/helado-la-cremeria-savory-tres-leches-1-l/p,https://jumbo.vteximg.com.br/arquivos/ids/325454-360-360?width=360&height=360&aspect=true
58,https://www.jumbo.cl/hel-super-premium-vainilla-francesa-1-lt/p,https://jumbo.vteximg.com.br/arquivos/ids/469951-360-360?width=360&height=360&aspect=true
59,https://www.jumbo.cl/mousse-choc-fram-sin-azucar-120g/p,https://jumbo.vteximg.com.br/arquivos/ids/442277-360-360?width=360&height=360&aspect=true
60,https://www.jumbo.cl/camote-trozos-minuto-verde-400g/p,https://jumbo.vteximg.com.br/arquivos/ids/312483-360-360?width=360&height=360&aspect=true
61,https://www.jumbo.cl/pizza-vegetariana-congelada-pf-465-g/p,https://jumbo.vteximg.com.br/arquivos/ids/271884-360-360?width=360&height=360&aspect=true
62,https://www.jumbo.cl/mix-del-huerto-frutos-del-maipo-500-g/p,https://jumbo.vteximg.com.br/arquivos/ids/347811-360-360?width=360&height=360&aspect=true
63,https://www.jumbo.cl/mix-smoothie-minuto-verde-green-desintoxicante-500-g/p,https://jumbo.vteximg.com.br/arquivos/ids/312346-360-360?width=360&height=360&aspect=true
64,https://www.jumbo.cl/helado-haagen-dazs-473-cc-strawberry/p,https://jumbo.vteximg.com.br/arquivos/ids/333142-360-360?width=360&height=360&aspect=true
65,https://www.jumbo.cl/helado-de-fruta-guallarauco-900-ml-sabor-chirimoya/p,https://jumbo.vteximg.com.br/arquivos/ids/471729-360-360?width=360&height=360&aspect=true
66,https://www.jumbo.cl/helado-emporio-la-rosa-800-cc-dulce-de-leche/p,https://jumbo.vteximg.com.br/arquivos/ids/348484-360-360?width=360&height=360&aspect=true
67,https://www.jumbo.cl/hel-anhelado-dulce-de-leche-473ml-1905719/p,https://jumbo.vteximg.com.br/arquivos/ids/499564-360-360?width=360&height=360&aspect=true
68,https://www.jumbo.cl/caja-hamb-vac-capital-blend-600g-1921654/p,https://jumbo.vteximg.com.br/arquivos/ids/479592-360-360?width=360&height=360&aspect=true
69,https://www.jumbo.cl/helado-freddo-dark-chocolate-375gr-1923115/p,https://jumbo.vteximg.com.br/arquivos/ids/499650-360-360?width=360&height=360&aspect=true
70,https://www.jumbo.cl/hel-chocorisimo-chocolate-suizo-460ml-1913549/p,https://jumbo.vteximg.com.br/arquivos/ids/473186-360-360?width=360&height=360&aspect=true
71,https://www.jumbo.cl/hel-haagen-dasz-choco-belga-vaini-420ml-1901538/p,https://jumbo.vteximg.com.br/arquivos/ids/466466-360-360?width=360&height=360&aspect=true
72,https://www.jumbo.cl/hel-trendy-brownie-vainilla-2-5-lts-1895131/p,https://jumbo.vteximg.com.br/arquivos/ids/459233-360-360?width=360&height=360&aspect=true
73,https://www.jumbo.cl/hel-protein-ice-alt-en-prot-coc-chi-349g-1871737/p,https://jumbo.vteximg.com.br/arquivos/ids/459799-360-360?width=360&height=360&aspect=true
74,https://www.jumbo.cl/hel-bravissimo-frutilla-a-la-crema-900ml-1889843/p,https://jumbo.vteximg.com.br/arquivos/ids/460306-360-360?width=360&height=360&aspect=true
75,https://www.jumbo.cl/hel-artisan-pina-rapa-nui-476ml-1879609/p,https://jumbo.vteximg.com.br/arquivos/ids/446075-360-360?width=360&height=360&aspect=true
76,https://www.jumbo.cl/hel-mpack-zenzero-keto-prot-choc-3unx55g-1861065/p,https://jumbo.vteximg.com.br/arquivos/ids/434236-360-360?width=360&height=360&aspect=true
77,https://www.jumbo.cl/hel-emp-la-rosa-manjar-blan-choco-550gr-1876049/p,https://jumbo.vteximg.com.br/arquivos/ids/436466-360-360?width=360&height=360&aspect=true
78,https://www.jumbo.cl/hel-vegano-live-green-choco-almend-315gr-1862155/p,https://jumbo.vteximg.com.br/arquivos/ids/430365-360-360?width=360&height=360&aspect=true
79,https://www.jumbo.cl/hel-mpack-emp-la-rosa-dulce-leche-4x60ml/p,https://jumbo.vteximg.com.br/arquivos/ids/427780-360-360?width=360&height=360&aspect=true
80,https://www.jumbo.cl/hel-bresler-frugele-tri-fra-lim-man-2-4l-1862147/p,https://jumbo.vteximg.com.br/arquivos/ids/453042-360-360?width=360&height=360&aspect=true
81,https://www.jumbo.cl/hamburguesa-quinoa-mediterranea/p,https://jumbo.vteximg.com.br/arquivos/ids/352306-360-360?width=360&height=360&aspect=true
82,https://www.jumbo.cl/helado-cookies-cream-pote-1-l/p,https://jumbo.vteximg.com.br/arquivos/ids/346111-360-360?width=360&height=360&aspect=true
83,https://www.jumbo.cl/sucedaneo-carne-molida-454-g/p,https://jumbo.vteximg.com.br/arquivos/ids/336563-360-360?width=360&height=360&aspect=true
84,https://www.jumbo.cl/helado-cookies-and-cream-5-un-53-g-c-u/p,https://jumbo.vteximg.com.br/arquivos/ids/346374-360-360?width=360&height=360&aspect=true
85,https://www.jumbo.cl/helado-tabletas-de-dulce-de-leche-6-un-300-g/p,https://jumbo.vteximg.com.br/arquivos/ids/327284-360-360?width=360&height=360&aspect=true
86,https://www.jumbo.cl/helado-dulce-de-leche-clasico-375-ml/p,https://jumbo.vteximg.com.br/arquivos/ids/327110-360-360?width=360&height=360&aspect=true
87,https://www.jumbo.cl/hamburguesa-tres-quinoas-200-g/p,https://jumbo.vteximg.com.br/arquivos/ids/326671-360-360?width=360&height=360&aspect=true
88,https://www.jumbo.cl/frut-cong-mango-mambo-campo-verde-1360-g-2/p,https://jumbo.vteximg.com.br/arquivos/ids/426774-360-360?width=360&height=360&aspect=true
89,https://www.jumbo.cl/helado-choco-menta-san-francisco-premium-1-l/p,https://jumbo.vteximg.com.br/arquivos/ids/469899-360-360?width=360&height=360&aspect=true
90,https://www.jumbo.cl/postre-helado-bresler-1-l-vainilla/p,https://jumbo.vteximg.com.br/arquivos/ids/452785-360-360?width=360&height=360&aspect=true
91,https://www.jumbo.cl/postre-helado-bresler-1-l-carte-dor-almendrado-chocolate-y-vainilla-con-almendras-caramelizadas/p,https://jumbo.vteximg.com.br/arquivos/ids/453147-360-360?width=360&height=360&aspect=true
92,https://www.jumbo.cl/hel-anhelado-frustos-del-bosque-473ml-1905723/p,https://jumbo.vteximg.com.br/arquivos/ids/499607-360-360?width=360&height=360&aspect=true
93,https://www.jumbo.cl/hel-chocorisimo-dulce-leche-chips-460ml-1913551/p,https://jumbo.vteximg.com.br/arquivos/ids/473192-360-360?width=360&height=360&aspect=true
94,https://www.jumbo.cl/hel-bresler-rolls-blanco-pote-900ml-1898149/p,https://jumbo.vteximg.com.br/arquivos/ids/463699-360-360?width=360&height=360&aspect=true
95,https://www.jumbo.cl/hel-chocorisimo-frutilla-460ml-1913553/p,https://jumbo.vteximg.com.br/arquivos/ids/473198-360-360?width=360&height=360&aspect=true
96,https://www.jumbo.cl/hel-chocorisimo-cookies-and-cream-460ml-1913550/p,https://jumbo.vteximg.com.br/arquivos/ids/473190-360-360?width=360&height=360&aspect=true
97,https://www.jumbo.cl/postre-menta-chocolate-cuk-1-3kg-1897984/p,https://jumbo.vteximg.com.br/arquivos/ids/463537-360-360?width=360&height=360&aspect=true
98,https://www.jumbo.cl/hel-mpack-veg-daiya-s-caramel-4un-75ml-1900140/p,https://jumbo.vteximg.com.br/arquivos/ids/462425-360-360?width=360&height=360&aspect=true
99,https://www.jumbo.cl/pulled-pork-veg-meatless-250g-1884820/p,https://jumbo.vteximg.com.br/arquivos/ids/461427-360-360?width=360&height=360&aspect=true
100,https://www.jumbo.cl/mousse-choc-praline-fram-vegano-cuk-140g-1880308/p,https://jumbo.vteximg.com.br/arquivos/ids/453543-360-360?width=360&height=360&aspect=true
101,https://www.jumbo.cl/mousse-choc-naranja-vegano-cuk-140g-1880309/p,https://jumbo.vteximg.com.br/arquivos/ids/453545-360-360?width=360&height=360&aspect=true
102,https://www.jumbo.cl/helado-alphonso-mango-473-ml/p,https://jumbo.vteximg.com.br/arquivos/ids/317897-360-360?width=360&height=360&aspect=true
103,https://www.jumbo.cl/postre-helado-vainilla-chocolate-viennetta-bresler-1-l/p,https://jumbo.vteximg.com.br/arquivos/ids/453182-360-360?width=360&height=360&aspect=true
104,https://www.jumbo.cl/hamburguesa-americana-185-g/p,https://jumbo.vteximg.com.br/arquivos/ids/410375-360-360?width=360&height=360&aspect=true
105,https://www.jumbo.cl/nugget-popcorn-pollo-salchicha-300-g/p,https://jumbo.vteximg.com.br/arquivos/ids/308600-360-360?width=360&height=360&aspect=true
106,https://www.jumbo.cl/nugguet-popcorn-pollo-cebolla-crema-300-g/p,https://jumbo.vteximg.com.br/arquivos/ids/308599-360-360?width=360&height=360&aspect=true
107,https://www.jumbo.cl/yuca-amarilla-mitades-minuto-verde-400g/p,https://jumbo.vteximg.com.br/arquivos/ids/312486-360-360?width=360&height=360&aspect=true
108,https://www.jumbo.cl/helado-sin-lactosa-chocolate-naranja-coppelia-800-ml/p,https://jumbo.vteximg.com.br/arquivos/ids/426761-360-360?width=360&height=360&aspect=true
109,https://www.jumbo.cl/helado-vainilla-h-agen-dazs-473-cc/p,https://jumbo.vteximg.com.br/arquivos/ids/333144-360-360?width=360&height=360&aspect=true
110,https://www.jumbo.cl/suprema-de-pollo-jamon-y-queso-receta-del-abuelo-120-g/p,https://jumbo.vteximg.com.br/arquivos/ids/426764-360-360?width=360&height=360&aspect=true
111,https://www.jumbo.cl/nuggets-de-soya-mr-veggie-400-g/p,https://jumbo.vteximg.com.br/arquivos/ids/426763-360-360?width=360&height=360&aspect=true
112,https://www.jumbo.cl/helado-savory-1-l-lucuma/p,https://jumbo.vteximg.com.br/arquivos/ids/431868-360-360?width=360&height=360&aspect=true
113,https://www.jumbo.cl/helado-savory-1-l-chocolate/p,https://jumbo.vteximg.com.br/arquivos/ids/432157-360-360?width=360&height=360&aspect=true
114,https://www.jumbo.cl/postre-helado-bresler-1-l-pina/p,https://jumbo.vteximg.com.br/arquivos/ids/452786-360-360?width=360&height=360&aspect=true
115,https://www.jumbo.cl/galletas-club-social-234-g-cu-9-unid-sabor-original/p,https://jumbo.vteximg.com.br/arquivos/ids/456395-360-360?width=360&height=360&aspect=true
