,url_product,category
57,https://www.santaisabel.cl/l-cult-colun-lig-fib-0-1l-frutilla/p,Lácteos
58,https://www.santaisabel.cl/arroz-grado-1-banquete-1-kg-pregraneado-grano-largo/p,Despensa
59,https://www.santaisabel.cl/frutillas-wasil-lata-150-g-drenado-415-g-neto-al-jugo-911100/p,Despensa
60,https://www.santaisabel.cl/arroz-grado-1-grano-largo-y-ancho-3-kg-1024795/p,Despensa
61,https://www.santaisabel.cl/cocktail-de-frutas-wasil-560-g-265482/p,Despensa
62,https://www.santaisabel.cl/naranja-2-kg/p,Frutas y Verduras
63,https://www.santaisabel.cl/lechuga-espanola-hidroponica-unid-1590217/p,Frutas y Verduras
64,https://www.santaisabel.cl/ensalada-toscana-bolsa-300-g-1772580/p,Frutas y Verduras
65,https://www.santaisabel.cl/apio-en-bastones-bolsa-500-g-1772588/p,Frutas y Verduras
66,https://www.santaisabel.cl/ensalada-corazon-de-costina-bolsa-3-un-1772586/p,Frutas y Verduras
67,https://www.santaisabel.cl/choclo-4-un-260612/p,Frutas y Verduras
68,https://www.santaisabel.cl/lomitos-fiesta-900-g-1561195/p,Carnicería
69,https://www.santaisabel.cl/filete-pechuga-de-pavo-800-g-1800307/p,Carnicería
70,https://www.santaisabel.cl/toallitas-wipes-virutex-des-fresh-24un-1921257/p,Limpieza
71,https://www.santaisabel.cl/limpia-vidrios-y-multiuso-gatillo-500-ml-1658781/p,Limpieza
72,https://www.santaisabel.cl/detergente-en-polvo-para-lavavajillas-finish-1-kg-632650/p,Limpieza
73,https://www.santaisabel.cl/air-wick-aceite-nat-rec-delicia-tropical-1925877/p,Limpieza
74,https://www.santaisabel.cl/des-air-wick-aut-rec-bali-ocean-air-1925875/p,Limpieza
75,https://www.santaisabel.cl/des-air-wick-aut-rec-sweet-mango-1925874/p,Limpieza
76,https://www.santaisabel.cl/air-wick-aceite-nat-rec-mar-de-hibiscus-1925876/p,Limpieza
77,https://www.santaisabel.cl/detergente-en-polvo-lavavajillas-doypack-1-kg-1860574/p,Limpieza
78,https://www.santaisabel.cl/pack-bebida-monster-energy-473-ml-1430852-pak/p,Botillería
79,https://www.santaisabel.cl/agua-saborizada-mas-pina-1-6-l-2/p,Botillería
