,Name,Link,Image,Brand,Best price,Normal price,Type of product,Category,Description,Ingredients,Available,Date
1124,Galletas Ecovida coco sin gluten 150 g,https://www.santaisabel.cl/galletas-ecovida-coco-sin-gluten-150-g-1230372/p,https://santaisabel.vtexassets.com/arquivos/ids/174024-750-750?width=750&height=750&aspect=true,Ecovida,NA,2299,Galletas Tradicionales,Desayuno y Dulces,"Galletas Sin gluten y sin azúcar. Galletas integrales libres de caseina y veganas.
Ingredientes: Harina de arroz, almidón de maíz, azúcar granulada, manteca vegetal, chuño (3,3%), jarabe fructosa, coco rallado (2,5%), sal, carboxil metil celulosa, leudantes (bicarbonato de sodio, bicarbonato de amonio, fosfato monocálcico), emulsionantes (lecitina de soya, estearoil lactilato de sodio), saborizante idéntico natural, colorante betacaroteno. Galletas Sin gluten y sin azúcar. Galletas integrales libres de caseina y veganas.",NA,Yes,2022-09-26
1125,Chupetes Pin Pon 24 g XL sabor frutos rojos,https://www.santaisabel.cl/chupetes-pin-pon-24-g-xl-sabor-frutos-rojos-1487097/p,https://santaisabel.vtexassets.com/arquivos/ids/180506-750-750?width=750&height=750&aspect=true,Ambrosoli,NA,2649,Caramelos,Desayuno y Dulces,"Deliciosos y tradicionales Chupetes Pin Pon 24 g XL sabor frutos rojos, perfectos para degustar y compartir en toda ocasión.",NA,Yes,2022-09-26
1126,"Yerba mate Supremo 500 g, Argentina, 8 hierbas",https://www.santaisabel.cl/yerba-mate-supremo-500-g-argentina-8-hierbas/p,https://santaisabel.vtexassets.com/arquivos/ids/171564-750-750?width=750&height=750&aspect=true,Supremo,NA,4579,Yerba Mate,Desayuno y Dulces,"Yerba mate Supremo 500 g, Argentina, 8 hierbas
La perfecta combinación de Yerba Mate Argentina con la infusión Ocho Hierbas, todo endulzado de forma natural con Stevia, un producto que aporta vitaminas, minerales, y energía, previniendo además la formación de gases estomacales. 
Sin duda alguna, fue la bebida preferida por nuestros antepasados, además de ser muy consumido en el sur de nuestro país, El Mate ha pasado de generación en generación, como una herencia, cargada de emotividad e historia, mezcla de encuentros familiares y sabores, que convierten a esta bebida, en una experiencia social única  La perfecta combinación de Yerba Mate Argentina con la infusión Ocho Hierbas, todo endulzado de forma natural con Stevia, un producto que aporta vitaminas, minerales, y energía, previniendo además la formación de gases estomacales. ",NA,Yes,2022-09-26
1127,Chocolate Crunch 120 g,https://www.santaisabel.cl/chocolate-crunch-120-g/p,https://santaisabel.vtexassets.com/arquivos/ids/169602-750-750?width=750&height=750&aspect=true,Muibon,NA,1309,NA,Desayuno y Dulces,"Exquisito chocolate Crunch Muibon, ideal para disfrutarlo en todo momento... Y por qué no compartirlo?",NA,Yes,2022-09-26
1128,Galletas Crackelet Salvado 85 g,https://www.santaisabel.cl/galletas-costa-85-g-crackelet-salvado-1624832/p,https://santaisabel.vtexassets.com/arquivos/ids/180545-750-750?width=750&height=750&aspect=true,Costa,NA,439,Galletas Crackers,Desayuno y Dulces,"Galletas de Costa, ideales para cocktail y untar en cada salsa. Fantásticas para compartir y con un increible sabor. Galletas de Costa, ideales para cocktail y untar en cada salsa. Fantásticas para compartir y con un increible sabor.",NA,Yes,2022-09-26
1129,Galletas Santiago surtidas 350 g,https://www.santaisabel.cl/galletas-santiago-bolsa-350-g-surtidas/p,https://santaisabel.vtexassets.com/arquivos/ids/163573-750-750?width=750&height=750&aspect=true,Santiago,NA,1279,Galletas Surtidas,Desayuno y Dulces,"Galletas Santiago son desarrolladas, manteniendo la tradición familiar y la esencia de compartir en familia o con amigos. Cada una de las recetas ha sido creada pensando en el sabor, calidad, y en rescatar las tradiciones de antaño. Galletas Santiago son desarrolladas, manteniendo la tradición familiar y la esencia de compartir en familia o con amigos. Cada una de las recetas ha sido creada pensando en el sabor, calidad, y en rescatar las tradiciones de antaño.",NA,Yes,2022-09-26
1130,Cereal Chocapic receta original 700 g,https://www.santaisabel.cl/cereal-chocapic-receta-original-700gr-1932088/p,https://santaisabel.vtexassets.com/arquivos/ids/203987-750-750?width=750&height=750&aspect=true,Chocapic,NA,5099,Cereal Sabor,Desayuno y Dulces,Encuentra Cereal Chocapic receta original 700 g y toda la variedad de productos Chocapic navegando en el sitio web.,NA,Yes,2022-09-26
1131,Tortitas de arroz integral con chocolate 130 g,https://www.santaisabel.cl/tortitas-de-arroz-integral-con-chocolate-130-g-1024867/p,https://santaisabel.vtexassets.com/arquivos/ids/192157-750-750?width=750&height=750&aspect=true,Bicentury,NA,2899,Tortas Congeladas,Desayuno y Dulces,"Deliciosas tortitas de arroz. Se pueden comer solas o acompañadas, ya que puedes preparar infinitas recetas con ellas.",NA,Yes,2022-09-26
1132,Cápsula café espresso clásico 10 un.,https://www.santaisabel.cl/capsula-cafe-espresso-clasico-10-un/p,https://santaisabel.vtexassets.com/arquivos/ids/160317-750-750?width=750&height=750&aspect=true,Gold,NA,4349,Cápsulas para Nespresso,Desayuno y Dulces,"Espresso Gold Classico, la verdadera tradición italiana del café, de cuerpo cremoso y tostado intenso, con sabor y aroma afrutado y acabado de chocolate. Granos 100% arábiga seleccionados cuidadosamente, para una experiencia única de café italiano Classico.",NA,Yes,2022-09-26
1133,Endulzante tabletas stevia sucralosa 500 un.,https://www.santaisabel.cl/endulzante-en-tabletas-iansa-cero-k-stevia-y-sucralosa-500-unid-1548058/p,https://santaisabel.vtexassets.com/arquivos/ids/189540-750-750?width=750&height=750&aspect=true,Iansa Cero K,NA,3529,Stevia,Desayuno y Dulces,"Endulzante Tabletas Stevia Sucralosa combina la naturalidad de la Stevia con el dulce sabor de la Sucralosa, ofreciendo una alternativa única más balanceada. 1 tableta = 1 cucharadita de azúcar. Sin Gluten. Formato 500 un.",NA,Yes,2022-09-26
