,Name,Link,Image,Brand,Best price,Normal price,Type of product,Category,Description,Ingredients,Available,Date
0,Queso mantecoso laminado 500 g,https://www.santaisabel.cl/quesomantecoso-quilque-28laminasenvaseresellablealvacio500grs-2/p,https://santaisabel.vtexassets.com/arquivos/ids/189960-750-750?width=750&height=750&aspect=true,Quilque,5099,6299,NA,Quesos y Fiambres,Exquisito Queso Mantecoso Laminado hecho con leche natural. Queso naturalmente libre de lactosa. Contiene: 28 láminas en envase resellable.  Exquisito Queso Mantecoso Laminado hecho con leche natural. Queso naturalmente libre de lactosa. Contiene: 28 láminas en envase resellable. ,NA,Yes,2022-09-26
1,Queso gauda Ranco laminado granel,https://www.santaisabel.cl/queso-ranco-colun-laminado-granel-2-2-2-2-2/p,https://santaisabel.vtexassets.com/arquivos/ids/161750-750-750?width=750&height=750&aspect=true,Colun,NA,1016,NA,Quesos y Fiambres,"Naturalmente sin lactosa. Queso gauda laminado de Colún, ideado especialmente para sandwich. En versión granel.",NA,Yes,2022-09-26
2,Queso parmesano rallado 40 g,https://www.santaisabel.cl/queso-parmesano-rallado-40-g-cuisine-and-co-1873785/p,https://santaisabel.vtexassets.com/arquivos/ids/178213-750-750?width=750&height=750&aspect=true,Cuisine & Co,NA,849,NA,Quesos y Fiambres,"Sabemos que un buen producto también puede tener un mejor precio, es por esto que te invitamos a descubrir nuestra nueva marca, creada especialmente para esos incansables buscadores del sabor y que valoran la calidad y la innovación, sin tener que pagar de más. Navega en nuestro sitio web y sorpréndete con la fantástica y extensa variedad de productos Cuisine & Co.",NA,Yes,2022-09-26
3,Jamón Pierna Artesanal PF Granel,https://www.santaisabel.cl/jamon-pierna-artesanal-pf-granel/p,https://santaisabel.vtexassets.com/arquivos/ids/157619-750-750?width=750&height=750&aspect=true,PF,NA,740,Jamón,Quesos y Fiambres,"El Jamón Artesanal es un producto elaborado con un corte especial de la pierna del cerdo. Armado artesanalmente, cubierto de una capa de fino caramelo glaseado, envasado al vacío, para luego ser sometido a un proceso térmico de cocción mediante el cual se asegura su conservabilidad y terneza. Ideal para el paladar del consumidor exigente. El Jamón Artesanal es un producto elaborado con un corte especial de la pierna del cerdo. Armado artesanalmente, cubierto de una capa de fino caramelo glaseado, envasado al vacío, para luego ser sometido a un proceso térmico de cocción mediante el cual se asegura su conservabilidad y terneza. Ideal para el paladar del consumidor exigente.",NA,Yes,2022-09-26
4,Jamón Colonial PF Granel,https://www.santaisabel.cl/jamon-colonial-pf-granel-2/p,https://santaisabel.vtexassets.com/arquivos/ids/157617-750-750?width=750&height=750&aspect=true,PF,NA,1060,Jamón,Quesos y Fiambres,"El jamón colonial PF es un producto elaborado con un corte especial de la pierna del cerdo, cubierto con una capa de cuero de cerdo. Armado y moldeado artesanalmente, para luego ser sometido a un proceso térmico de cocción mediante el cual se asegura su conservabilidad y terneza. Finalmente se cubre con una capa de fino caramelo glaseado. Ideal para el paladar del consumidor exigente. El jamón colonial PF es un producto elaborado con un corte especial de la pierna del cerdo, cubierto con una capa de cuero de cerdo. Armado y moldeado artesanalmente, para luego ser sometido a un proceso térmico de cocción mediante el cual se asegura su conservabilidad y terneza. Finalmente se cubre con una capa de fino caramelo glaseado. Ideal para el paladar del consumidor exigente.",NA,Yes,2022-09-26
5,Queso mantecoso laminado granel Quilque,https://www.santaisabel.cl/queso-mantecoso-quilque-granel/p,https://santaisabel.vtexassets.com/arquivos/ids/161745-750-750?width=750&height=750&aspect=true,Quilque,NA,976,NA,Quesos y Fiambres,"Delicioso Queso Quilque, perfecto para prepararlo en ese rico sándwich que tanto te gusta a la hora del desayuno.",NA,Yes,2022-09-26
6,Queso gauda 500 g,https://www.santaisabel.cl/queso-gauda-500-g-cuisine-and-co-1885308/p,https://santaisabel.vtexassets.com/arquivos/ids/180992-750-750?width=750&height=750&aspect=true,Cuisine & Co,NA,4559,En un lugar fresco y seco,Quesos y Fiambres,"Queso gauda de Cuisine & Co, un producto delicioso, de textura suave, sabor auténtico. Ideal para acompañar un sádwich o alguna preparación que lo amerite.","Leche pasteurizada, Sal, Cultivos lácticos, Cloruro de calcio, Cuajo microbiano, Leche",Yes,2022-09-26
7,Queso crema pasteurizado 226 g,https://www.santaisabel.cl/queso-crema-pasteurizado-226-g-cuisine-and-co-1820460/p,https://santaisabel.vtexassets.com/arquivos/ids/168648-750-750?width=750&height=750&aspect=true,Cuisine & Co,NA,2449,NA,Quesos y Fiambres,,NA,Yes,2022-09-26
8,Jamón Pierna Acaramelado PF Granel,https://www.santaisabel.cl/jamon-pierna-acaramelado-pf-granel-2/p,https://santaisabel.vtexassets.com/arquivos/ids/157616-750-750?width=750&height=750&aspect=true,PF,NA,1060,Jamón,Quesos y Fiambres,"El Jamón Pierna Acaramelado PF es un producto elaborado con un corte especial de la pierna del cerdo. Armado y moldeado artesanalmente, para luego ser sometido a un proceso térmico de cocción mediante el se asegura su conservabilidad y terneza. Finalmente se cubre con una capa de fino caramelo glaseado. El producto se rebana, se envasa al vacío y se somete a un tratamiento por altas presiones que asegura la inocuidad, durabilidad y frescura del producto durante toda su vida útil. Ideal para el paladar del consumidor exigente. El Jamón Pierna Acaramelado PF es un producto elaborado con un corte especial de la pierna del cerdo. Armado y moldeado artesanalmente, para luego ser sometido a un proceso térmico de cocción mediante el se asegura su conservabilidad y terneza. Finalmente se cubre con una capa de fino caramelo glaseado. El producto se rebana, se envasa al vacío y se somete a un tratamiento por altas presiones que asegura la inocuidad, durabilidad y frescura del producto durante toda su vida útil. Ideal para el paladar del consumidor exigente.",NA,Yes,2022-09-26
9,Queso Reggianito rallado 40 g,https://www.santaisabel.cl/queso-reggianito-colun-rallado-40-g-2/p,https://santaisabel.vtexassets.com/arquivos/ids/161701-750-750?width=750&height=750&aspect=true,Colun,739,929,40 g,Quesos y Fiambres,"Queso Reggianito rallado de Colun, contenido 40 gr. Elaborado en origen. Naturalmente sin lactosa. Producto obtenido a partir de queso Reggianitto Maduro, el cual es sometido a un proceso de desintegración mecánica y deshidratación por calor. Su presentación es en forma de grano fino.",NA,Yes,2022-09-26
10,Queso ranco laminado bolsa 500 g,https://www.santaisabel.cl/queso-ranco-colun-laminado-al-vacio-500-g-2/p,https://santaisabel.vtexassets.com/arquivos/ids/157637-750-750?width=750&height=750&aspect=true,Colun,NA,5569,500 g,Quesos y Fiambres,"Naturalmente sin lactosa. Queso ranco laminado de Colún, ideado especialmente para sándwich. Bolsa de 500 gr.",NA,Yes,2022-09-26
11,Jamón acaramelado de pavo Sopraval granel,https://www.santaisabel.cl/jamon-acaramelado-de-pavo-sopraval-granel-2/p,https://santaisabel.vtexassets.com/arquivos/ids/157625-750-750?width=750&height=750&aspect=true,Sopraval,NA,1640,Jamón,Quesos y Fiambres,"Incluye el jamón de pavo Sopraval en tu dieta y, así tendrás una alternativa ligera, práctica y versátil. Incluye el jamón de pavo Sopraval en tu dieta y, así tendrás una alternativa ligera, práctica y versátil.",NA,Yes,2022-09-26
12,Queso crema original 180g,https://www.santaisabel.cl/queso-crema-philadelphia-180gr/p,https://santaisabel.vtexassets.com/arquivos/ids/177311-750-750?width=750&height=750&aspect=true,Philadelphia,2399,2979,NA,Quesos y Fiambres,"Tipo de Producto
Queso Crema",NA,Yes,2022-09-26
13,Queso mantecoso laminado 500 g,https://www.santaisabel.cl/queso-mantecoso-rio-bueno-500-g-2/p,https://santaisabel.vtexassets.com/arquivos/ids/157662-750-750?width=750&height=750&aspect=true,Río Bueno,4899,5849,Queso Mantecoso,Quesos y Fiambres,"Pura leche de vaca!
Queso mantecoso de un sabor liviano pero persistente, consistencia blanda, textura con ojos pequeños, abundantes e irregulares y color amarillo crema.
Elaborado por COLUN (Cooperativa Agrícola y Lechera de La Unión Ltda).
Conservación
Conservar en lugar fresco, limpio y seco. Una vez abierto mantener refrigerado (4°- 6° Celsius), y consumir antes de 5 días.
Ingredientes
Leche pasteurizada, cultivos lácteos seleccionados, cloruro de calcio, sal, nitrato de sodio y cuajo. Pura leche de vaca!",NA,Yes,2022-09-26
14,Jamón artesanal granel,https://www.santaisabel.cl/jamon-artesanal-san-jorge-granel/p,https://santaisabel.vtexassets.com/arquivos/ids/164162-750-750?width=750&height=750&aspect=true,San Jorge,640,740,NA,Quesos y Fiambres,Jamón artesanal de exquisito sabor. Súper recomendado para sandwich. Con la calidad comprobada de las cecinas de San Jorge.,NA,Yes,2022-09-26
15,Queso Mantecoso Las Parcelas de Valdivia,https://www.santaisabel.cl/queso-mantecoso-las-parcelas-valdivia-granel/p,https://santaisabel.vtexassets.com/arquivos/ids/206207-750-750?width=750&height=750&aspect=true,Las Parcelas De Valdivia,NA,2939,Queso Mantecoso,Quesos y Fiambres,"Delicioso Queso mantecoso trozo, ideal para realizar esas ricas preparaciones que tienes en mente. Sabor y aroma único.",NA,Yes,2022-09-26
16,Queso parmesano rallado 80 g,https://www.santaisabel.cl/queso-parmesano-colun-80-g-2/p,https://santaisabel.vtexassets.com/arquivos/ids/161697-750-750?width=750&height=750&aspect=true,Colun,NA,1689,80 g,Quesos y Fiambres,"Queso parmesano de Colun, contenido 80 gr. Elaborado en origen. Naturalmente sin lactosa. Producto obtenido a partir de queso Parmesano, el cual es sometido a un proceso de desintegración mecánica y deshidratación por calor.",NA,Yes,2022-09-26
17,Queso mantecoso laminado granel Río Bueno,https://www.santaisabel.cl/queso-mantecoso-rio-bueno-granel/p,https://santaisabel.vtexassets.com/arquivos/ids/161749-750-750?width=750&height=750&aspect=true,Río Bueno,NA,NA,NA,Quesos y Fiambres,,NA,No,2022-09-26
18,Queso cheddar 160 g,https://www.santaisabel.cl/queso-cheddar-alerces-lam-160-gr/p,https://santaisabel.vtexassets.com/arquivos/ids/159732-750-750?width=750&height=750&aspect=true,Los Alerces,1299,1579,NA,Quesos y Fiambres,Caracterizado por su delicioso sabor y aroma inconfundible. El Queso cheddar 160 g es perfecto para consumirlo de la manera que prefieras. Elaborado en base a los mejores ingredientes. Su sabor te fascinará.,NA,Yes,2022-09-26
19,Queso Reggianito rallado 80 g,https://www.santaisabel.cl/queso-reggianito-colun-rallado-80-g-2/p,https://santaisabel.vtexassets.com/arquivos/ids/161700-750-750?width=750&height=750&aspect=true,Colun,1399,1829,80 g,Quesos y Fiambres,"Queso Reggianito rallado de Colun, contenido 80 gr. Elaborado en origen. Naturalmente sin lactosa. Producto obtenido a partir de queso Reggianitto Maduro, el cual es sometido a un proceso de desintegración mecánica y deshidratación por calor. Su presentación es en forma de grano fino.",NA,Yes,2022-09-26
20,Jamón Pierna PF Granel,https://www.santaisabel.cl/jamon-pierna-pf-granel-2/p,https://santaisabel.vtexassets.com/arquivos/ids/157620-750-750?width=750&height=750&aspect=true,PF,NA,740,Jamón,Quesos y Fiambres,"El Jamón Pierna es un producto elaborado con un corte especial de la pierna del cerdo. Embutido en tripa artificial y moldeado en forma rectangular, para luego ser sometido a un proceso térmico de cocción mediante el cual se asegura su conservabilidad y terneza. Ideal para el paladar del consumidor exigente. El Jamón Pierna es un producto elaborado con un corte especial de la pierna del cerdo. Embutido en tripa artificial y moldeado en forma rectangular, para luego ser sometido a un proceso térmico de cocción mediante el cual se asegura su conservabilidad y terneza. Ideal para el paladar del consumidor exigente.",NA,Yes,2022-09-26
21,Jamón cocido de pavo granel,https://www.santaisabel.cl/jamon-cocido-de-pavo-sopraval-granel/p,https://santaisabel.vtexassets.com/arquivos/ids/157626-750-750?width=750&height=750&aspect=true,Sopraval,NA,1820,NA,Quesos y Fiambres,Jamón cocido de pavo es ideal para preparar esos ricos sándwiches que tanto te gustan. Elaboración en base a frescos y delicioso ingredientes.,NA,Yes,2022-09-26
22,Paté ternera 125 g,https://www.santaisabel.cl/pate-de-ternera-pf-125-g/p,https://santaisabel.vtexassets.com/arquivos/ids/158276-750-750?width=750&height=750&aspect=true,PF,900,NA,Paté de Ternera,Quesos y Fiambres,"El Paté Sabor Ternera PF es un producto finamente emulsionado, elaborado a base de carne de cerdo, carne de pollo, hígado de cerdo y tocino de cerdo, con la incorporación de especias que le otorgan el sabor característico. Embutido en tripa artificial, es sometido a un doble proceso de cocción (antes y después de embutido), mediante el cual se logra la conservabilidad y textura característica. El Paté Sabor Ternera PF es un producto finamente emulsionado, elaborado a base de carne de cerdo, carne de pollo, hígado de cerdo y tocino de cerdo, con la incorporación de especias que le otorgan el sabor característico. Embutido en tripa artificial, es sometido a un doble proceso de cocción (antes y después de embutido), mediante el cual se logra la conservabilidad y textura característica.",NA,Yes,2022-09-26
23,Queso gauda granel,https://www.santaisabel.cl/queso-gauda-granel-cuisine-and-co-1885309-kg/p,https://santaisabel.vtexassets.com/arquivos/ids/185305-750-750?width=750&height=750&aspect=true,Cuisine & Co,NA,2389,En un lugar fresco y seco,Quesos y Fiambres,"Queso gauda de Cuisine & Co, un producto delicioso, de textura suave, sabor auténtico. Ideal para acompañar un sádwich o alguna preparación que lo amerite.",NA,Yes,2022-09-26
24,Jamón cocido de pavo granel,https://www.santaisabel.cl/jamon-cocido-de-pavo-granel-1845914-kg/p,https://santaisabel.vtexassets.com/arquivos/ids/174124-750-750?width=750&height=750&aspect=true,La Preferida,NA,1680,Jamón,Quesos y Fiambres,La Preferida es símbolo de calidad y tradición en embutidos. El jamón cocido de pavo es ideal para preparar un rico sándwich.,NA,Yes,2022-09-26
25,Queso gauda 250 g,https://www.santaisabel.cl/queso-gauda-250-g-cuisine-and-co-1885307/p,https://santaisabel.vtexassets.com/arquivos/ids/180991-750-750?width=750&height=750&aspect=true,Cuisine & Co,NA,2679,En un lugar fresco y seco,Quesos y Fiambres,"Queso gauda de Cuisine & Co, un producto delicioso, de textura suave, sabor auténtico. Ideal para acompañar un sádwich o alguna preparación que lo amerite.","Leche pasteurizada, Sal, Cultivos lácticos, Cloruro de calcio, Cuajo microbiano, Leche",Yes,2022-09-26
26,Paté de Jamón Receta del Abuelo 125 g,https://www.santaisabel.cl/pate-de-jamon-receta-del-abuelo-125-g/p,https://santaisabel.vtexassets.com/arquivos/ids/163787-750-750?width=750&height=750&aspect=true,Receta Del Abuelo,NA,759,Paté de Jamón,Quesos y Fiambres,La Receta del Abuelo trae los mejores embutidos para complementar tu alimentación. Paté de jamón de 125 gr.,NA,Yes,2022-09-26
27,Queso crema natural 100 g,https://www.santaisabel.cl/queso-crema-colun-natural-100-g/p,https://santaisabel.vtexassets.com/arquivos/ids/157577-750-750?width=750&height=750&aspect=true,Colun,NA,789,100 g,Quesos y Fiambres,"Queso Colun crema natural de 100 gr. Elaborada en origen. Elaborado a partir de quesos seleccionados, fundidos por medio de calor y agitación, sabor característico, consistencia cremosa y untable.",NA,Yes,2022-09-26
28,Queso parmesano rallado 40 g,https://www.santaisabel.cl/queso-parmesano-rallado-40-g-303416/p,https://santaisabel.vtexassets.com/arquivos/ids/173073-750-750?width=750&height=750&aspect=true,Soprole,NA,989,NA,Quesos y Fiambres,"Queso 100% parmesano rallado fino. Naturalmente libre de lactosa, elaborado según el proceso tradicional.",NA,Yes,2022-09-26
29,Jamón pierna artesanal corte pluma 125 g,https://www.santaisabel.cl/jamon-pierna-artesanal-receta-del-abuelo-125-g/p,https://santaisabel.vtexassets.com/arquivos/ids/210494-750-750?width=750&height=750&aspect=true,Receta Del Abuelo,1629,1979,Jamón,Quesos y Fiambres,"Jamón pierna artesanal. Disfruta de un suave y liviano jamón de pechuga de pavo cocida. Un acompañamiento perfecto en cualquier momento del día, a la hora de once, en un día de pic nic, será tu mejor acompañante. Jamón pierna artesanal. Disfruta de un suave y liviano jamón de pechuga de pavo cocida. Un acompañamiento perfecto en cualquier momento del día, a la hora de once, en un día de pic nic, será tu mejor acompañante.",NA,Yes,2022-09-26
30,Queso gauda laminado 500 g,https://www.santaisabel.cl/queso-gouda-soproles-500-g-2/p,https://santaisabel.vtexassets.com/arquivos/ids/168453-750-750?width=750&height=750&aspect=true,Soprole,NA,5819,NA,Quesos y Fiambres,Queso Gauda hecho con leche natural. Queso naturalmente libre de lactosa. Contiene: 28 láminas en envase resellable,NA,Yes,2022-09-26
31,Paté de Ternera San Jorge 125 g,https://www.santaisabel.cl/pate-de-ternera-san-jorge-125-g/p,https://santaisabel.vtexassets.com/arquivos/ids/196785-750-750?width=750&height=750&aspect=true,San Jorge,NA,599,Paté de Ternera,Quesos y Fiambres,"Es una mezcla de diversos ingredientes. Su nombre, de hecho, se deriva del francés paté y significa pasta. En teoría, la base del producto también es el hígado de un animal: al menos una tercera parte de su composición final debería ser hígado para que se considere paté. Es una mezcla de diversos ingredientes. Su nombre, de hecho, se deriva del francés paté y significa pasta. En teoría, la base del producto también es el hígado de un animal: al menos una tercera parte de su composición final debería ser hígado para que se considere paté.",NA,Yes,2022-09-26
32,Salchichas Sureñas PF 5 Unid. 250 g,https://www.santaisabel.cl/salchichas-surenas-pf-250-g-2/p,https://santaisabel.vtexassets.com/arquivos/ids/157710-750-750?width=750&height=750&aspect=true,PF,NA,1029,Salchichas,Quesos y Fiambres,"Las exquisitas Salchichas Sureñas PF son producidas principalmente a base de materias primas de pollo, cerdo y vacuno, finamente emulsionadas empleando la más avanzada tecnología de la industria cárnica. Se caracterizan por el proceso de ahumado que les da su color característico. Condimentadas con agradables especias, que le otorgan su distintivo sabor. Sometido a un controlado proceso de cocción mediante el cual se logra la conservabilidad y textura características. Las exquisitas Salchichas Sureñas PF son producidas principalmente a base de materias primas de pollo, cerdo y vacuno, finamente emulsionadas empleando la más avanzada tecnología de la industria cárnica. Se caracterizan por el proceso de ahumado que les da su color característico. Condimentadas con agradables especias, que le otorgan su distintivo sabor. Sometido a un controlado proceso de cocción mediante el cual se logra la conservabilidad y textura características.",NA,Yes,2022-09-26
33,Salame italiano 100 g,https://www.santaisabel.cl/salame-italiano-sj-100-g/p,https://santaisabel.vtexassets.com/arquivos/ids/183970-750-750?width=750&height=750&aspect=true,San Jorge,NA,1699,Salame Italiano,Quesos y Fiambres,"El salami italiano, embutido que se elabora con una mezcla de carnes de vacuno y porcino sazonadas y que es posteriormente ahumado y curado al aire, similar al salchichón. El salami italiano, embutido que se elabora con una mezcla de carnes de vacuno y porcino sazonadas y que es posteriormente ahumado y curado al aire, similar al salchichón.",NA,Yes,2022-09-26
34,Quesillo fresco 320 g,https://www.santaisabel.cl/quesillo-colun-pack-2-unidades-potes-de-160-g-c-u/p,https://santaisabel.vtexassets.com/arquivos/ids/203846-750-750?width=750&height=750&aspect=true,Colun,NA,1939,Queso Fresco,Quesos y Fiambres,"Quesillo fresco de Colun, contenido 320 gr. Elaborado en su origen con leche fresca. El Quesillo Colun es obtenido a partir de leche fresca pasteurizada parcialmente descremada, con coagulación enzimática, de consistencia blanda y sin corteza",NA,Yes,2022-09-26
35,Salame ahumado granel,https://www.santaisabel.cl/salame-ahumado-san-jorge-granel/p,https://santaisabel.vtexassets.com/arquivos/ids/163794-750-750?width=750&height=750&aspect=true,San Jorge,NA,1340,Salame,Quesos y Fiambres,"San Jorge tiene calidad probada en cecinas y embutidos. Prueba el salame ahumado en versión granel, ideal para sorprender en picoteos.",NA,Yes,2022-09-26
36,Queso fresco light sin lactosa 400 g,https://www.santaisabel.cl/queso-fresco-light-sin-lactosa-400-g/p,https://santaisabel.vtexassets.com/arquivos/ids/160141-750-750?width=750&height=750&aspect=true,Colun,1990,2269,Porciones por envase:,Quesos y Fiambres,"Producto que se obtiene a partir de leche fresca pasteurizada parcialmente descremada, de consistencia blanda y sin corteza. Este queso proviene de rebaños ubicados en las regiones de Los Ríos y de Los Lagos de Chile, y por lo tanto, producido a partir de leche fluida natural 100% chilena. Apto para celíacos e intolerantes a la lactosa. Sin colorantes ni preservantes.",NA,Yes,2022-09-26
37,Queso mantecoso laminado kg,https://www.santaisabel.cl/queso-mant-laminado-kg-cuisine-and-co-1923720-kg/p,https://santaisabel.vtexassets.com/arquivos/ids/197044-750-750?width=750&height=750&aspect=true,Cuisine & Co,NA,1016,NA,Quesos y Fiambres,"Es especial para tus preparaciones favoritas; ya sea un sándwich por la mañana, o tal vez una deliciosa lasaña a la cena. Elaborado cuidadosamente con selectos y naturales ingredientes.",NA,Yes,2022-09-26
38,Salchicha de ave 20 un. 1 kg,https://www.santaisabel.cl/salchicha-de-ave-la-montina-1-kg-20-2/p,https://santaisabel.vtexassets.com/arquivos/ids/157699-750-750?width=750&height=750&aspect=true,Montina,NA,3490,Salchichas,Quesos y Fiambres,"Salchicha de ave 20 un. 1 kg
La tradicional fábrica MONTINA comienza en la década de 1940 en la localidad de El Monte, antaño parada inevitable en el camino a la Costa, donde se hizo famosa con sus salchichas, jamones, mortadelas y embutidos con el logo de un chanchito.Décadas después, el éxito de esta fábrica hizo necesaria su mudanza a instalaciones más grandes, para lo cual se estableció en un galpón industrial en la ciudad de Talagante, donde funciona hasta ahora.
A partir de 1979 fue pionera en el mercado chileno al incorporar también pollo y pavo como ingredientes en la fabricación de cecinas, inventando una receta de salchichas que hasta ahora no ha podido ser igualada, la que sus maestros de cocina conservan secretamente. A lo largo de los años, diferentes paneles de degustación otorgan preferencia N°1 del mercado en sabor a esta sin igual salchicha por la cual no se debe desembolsar ni un peso más por ella.
Son las mismas salchichas MONTINA que Ud. puede disfrutar hoy, las que se caracterizan por su suave y delicado sabor, con los condimentos justos, buena mordida y elaborada bajo estrictas normas de calidad y seguridad.
Estos mismos conceptos, MONTINA ha extendido a su línea de parrilleros (chorizos y longanizas), los que están experimentando un importante crecimiento conforme el consumidor los va probando y aceptando.
Por otro lado, MONTINA ha seguido elaborando sus tradicionales mortadelas y también jamones de pavo y de pollo.
En los años 90, Montina incursiona en la fabricación de hamburguesas de pollo y pavo con una planta de procesados congelados ubicada en la localidad de Malloco.
Últimamente la marca Montina ha desarrollado una amplia línea de productos congelados, que incluyen hamburguesas de vacuno y pollo, churrasco de vacuno, filetes de pollo y de pavo y lomitos de pollo y de pavo.
MONTINA une la tradición con la modernidad para dar garantía a sus consumidores. Porque somos una fábrica mediana controlamos muy bien lo que hacemos. Los procesos de elaboración de nuestras fábricas están basados en un Sistemas HACCP e ISO 9.000, los cuales dan la tranquilidad de que nuestros productos son de alta calidad. La tradicional fábrica MONTINA comienza en la década de 1940 en la localidad de El Monte, antaño parada inevitable en el camino a la Costa, donde se hizo famosa con sus salchichas, jamones, mortadelas y embutidos con el logo de un chanchito.Décadas después, el éxito de esta fábrica hizo necesaria su mudanza a instalaciones más grandes, para lo cual se estableció en un galpón industrial en la ciudad de Talagante, donde funciona hasta ahora.",NA,Yes,2022-09-26
39,Pechuga de pollo asada granel,https://www.santaisabel.cl/pechuga-de-pollo-asada-super-pollo-granel-2/p,https://santaisabel.vtexassets.com/arquivos/ids/163755-750-750?width=750&height=750&aspect=true,Super Pollo,640,940,Pechuga de Pollo,Quesos y Fiambres,"La calidad y variedad de Super Pollo. Esta vez trae una exquisita pechuga asada, lista para calentar y servir.",NA,Yes,2022-09-26
40,Salchichas premium 5 un. 250 g,https://www.santaisabel.cl/salchichas-premium-rda-250-g-2/p,https://santaisabel.vtexassets.com/arquivos/ids/157711-750-750?width=750&height=750&aspect=true,Receta Del Abuelo,NA,1859,Salchichas,Quesos y Fiambres,Las exquisitas Salchichas Premium Receta del Abuelo son producidas con carne de cerdo y vacuno. Con un toque justo de humo y agradables especias que le otorgan su distintivo sabor. Sometido a un controlado proceso de cocción mediante el cual se logra la conservabilidad y textura características. Las exquisitas Salchichas Premium Receta del Abuelo son producidas con carne de cerdo y vacuno. Con un toque justo de humo y agradables especias que le otorgan su distintivo sabor. Sometido a un controlado proceso de cocción mediante el cual se logra la conservabilidad y textura características.,NA,Yes,2022-09-26
41,Salame italiano 100 g,https://www.santaisabel.cl/salame-italiano-pf-100-g/p,https://santaisabel.vtexassets.com/arquivos/ids/159809-750-750?width=750&height=750&aspect=true,PF,1399,1699,Salame Italiano,Quesos y Fiambres,"El Salame Italiano PF es elaborado con carne magra (sin grasa) de cerdo, vacuno y planchas de tocino seleccionado de cerdo. Elaborado con la más moderna tecnología de la industria cárnica, conservando la centenaria receta familiar. Seleccionados cultivos cárnicos dan el aroma y sabor característico. Embutido en tripa colágeno son fermentados y madurados en cámaras con la mejor tecnología de control ambiental (temperatura y humedad en cada etapa del proceso). Rebanado y envasado en film con atmósfera modificada (MAP). El Salame Italiano PF es elaborado con carne magra (sin grasa) de cerdo, vacuno y planchas de tocino seleccionado de cerdo. Elaborado con la más moderna tecnología de la industria cárnica, conservando la centenaria receta familiar. Seleccionados cultivos cárnicos dan el aroma y sabor característico. Embutido en tripa colágeno son fermentados y madurados en cámaras con la mejor tecnología de control ambiental (temperatura y humedad en cada etapa del proceso). Rebanado y envasado en film con atmósfera modificada (MAP).",NA,Yes,2022-09-26
42,Pechuga de pavo cocida granel,https://www.santaisabel.cl/pechuga-de-pavo-cocida-sopraval-granel/p,https://santaisabel.vtexassets.com/arquivos/ids/157633-750-750?width=750&height=750&aspect=true,Sopraval,NA,2140,A granel,Quesos y Fiambres,Delicioso sabor. Ideal para tus sándwiches favoritos. Increíble textura. Deleita tu paladar. Perfecto para toda ocasión.,NA,Yes,2022-09-26
43,Queso Ranco laminado bolsa 250 g,https://www.santaisabel.cl/queso-ranco-colun-laminado-al-vacio-250-g-2/p,https://santaisabel.vtexassets.com/arquivos/ids/157639-750-750?width=750&height=750&aspect=true,Colun,NA,2919,NA,Quesos y Fiambres,"Contenido
250 g
Variedad
Laminado",NA,Yes,2022-09-26
44,Paté sabor ternera Receta del Abuelo 125 g,https://www.santaisabel.cl/pate-sabor-ternera-receta-del-abuelo-125-g/p,https://santaisabel.vtexassets.com/arquivos/ids/164054-750-750?width=750&height=750&aspect=true,Receta Del Abuelo,NA,759,Paté de Ternera,Quesos y Fiambres,La Receta del Abuelo trae los mejores embutidos para complementar tu alimentación. Paté sabor ternera de 125 gr.,NA,Yes,2022-09-26
45,Quesillo 300 g,https://www.santaisabel.cl/quesillo-soprole-con-sal-pote-300-g/p,https://santaisabel.vtexassets.com/arquivos/ids/170100-750-750?width=750&height=750&aspect=true,Soprole,NA,1699,Porciones por envase:,Quesos y Fiambres,Quesillo hecho con leche natural. Envase doble para mantenerlo fresco por mas tiempo.,NA,Yes,2022-09-26
46,Queso mantecoso laminado 500 g,https://www.santaisabel.cl/queso-mant-laminado-500g-cuisine-and-co-1923719/p,https://santaisabel.vtexassets.com/arquivos/ids/192357-750-750?width=750&height=750&aspect=true,Cuisine & Co,NA,5449,Queso Mantecoso,Quesos y Fiambres,"Es especial para tus preparaciones favoritas; ya sea un sándwich por la mañana, o tal vez una deliciosa lasaña a la cena. Elaborado cuidadosamente con selectos y naturales ingredientes.",NA,Yes,2022-09-26
47,Salchichas 250 g,https://www.santaisabel.cl/salchichas-san-jorge-250-g/p,https://santaisabel.vtexassets.com/arquivos/ids/158274-750-750?width=750&height=750&aspect=true,San Jorge,NA,1159,Salchichas,Quesos y Fiambres,"Embutido, en tripa delgada, de carne de cerdo magra y gorda , bien picada , que se sazona con sal , pimienta y otras especias. Embutido, en tripa delgada, de carne de cerdo magra y gorda , bien picada , que se sazona con sal , pimienta y otras especias.",NA,Yes,2022-09-26
48,Jamón centenario colonial kg,https://www.santaisabel.cl/jamon-centenario-colonial-kg-1898857-kg/p,https://santaisabel.vtexassets.com/arquivos/ids/191683-750-750?width=750&height=750&aspect=true,La Preferida,NA,NA,NA,Quesos y Fiambres,"Tipo de Producto
Jamón",NA,No,2022-09-26
