,Name,Link,Best price,Normal price,Type of product,Description,Ingredients,Available
237,Pizza congelada Receta del Abuelo supreme 620 g,https://www.jumbo.cl/pizza-congelada-receta-del-abuelo-supreme-620-g/p,NA,$4.790,Pizza Española,"Pizza congelada Supreme, entre sus ingredientes se encuentra mozzarella, aceitunas y pimentón. Disfruta de un momento rico con amigos y familia, estará listo en 20 minutos. 8 porciones por envase.","Queso mozzarella,  Agua,  Salsa de tomates,  Carne de cerdo,  Dextrosa,  Aceitunas negras,  Remolacha,  Pimentón rojo,  Pimienta,  Carne de vacuno,  Aceite de soya,  Cebolla,  Anís,  Ají,  Fosfato de potasio,  Ajo,  Comino,  Bicarbonato de sodio,  Proteína de soya,  Aceite de oliva,  Nuez moscada,  Almidón de maíz,  Leche en polvo,  Fosfato monocálcico,  Ascorbato de sodio,  Levadura,  Maltodextrina,  Aceite de maravilla,  Aceite de canola,  ácido ascórbico,  Enzimas,  Glutamato monosódico,  Orégano,  ácido cítrico,  Colorante natural caroteno,  Aromatizante idéntico a natural,  Dióxido de silicio amorfo,  Saborizante idéntico a natural,  Polifosfato de sodio,  Polifosfato de potasio,  Nitrito de sodio,  Colorante caramelo,  L-cisteína,  Eritorbato de sodio,  Cultivo láctico,  Harina de trigo,  Palmitato de ascorbilo,  Pimentón amarillo",1
238,Smoothie verde 500 g,https://www.jumbo.cl/smoothie-verde-frutos-del-maipo-500-g/p,$3.390,$4.090,Mix Smoothie Verdes,"Te entregamos el mix perfecto para preparar un rico smoothie a base de manzana verde, piña, espinaca, apio y menta.","Manzana verde,  Piña,  Espinaca,  Apio,  Menta,  ácido cítrico,  ácido ascórbico",1
239,Mix smoothie Minuto Verde red antioxidante 500 g,https://www.jumbo.cl/mix-smoothie-minuto-verde-red-antioxidante-500-g/p,NA,$3.749,Mix de Frutas,"Mix smoothie Minuto Verde red antioxidante 500 g
En Minuto Verde elaboramos alimentos saludables, prácticos, ricos y nutritivos. Buscamos permanentemente la innovación y trabajamos con los más altos estándares de calidad. 
Somos una empresa sustentable, respetuosa del medioambiente, entregando a nuestros colaboradores un grato clima laboral, inclusivo y oportunidades de desarrollo profesional.
En la actualidad Minuto Verde, marca perteneciente a Alifrut es la compañía que posee la mayor capacidad de producción de hortalizas y frutas congeladas en Latinoamérica. Además de la mayor capacidad de almacenaje en frío del país (-18°C).","Frutillas,  Frambuesas,  Arándanos,  Uva",1
240,Betarraga en cubos Minuto Verde 500 g,https://www.jumbo.cl/betarraga-en-cubos-minuto-verde-500-g/p,NA,$1.929,Betarraga,"Betarraga en cubos Minuto Verde 500 g
El pistacho es un fruto seco rico en nutrientes y su alto nivel proteico es muy importante para una buena salud. Destaca especialmente por su aporte de minerales lo que ayuda a controlar la presión arterial.
Brocoli Minuto Verde 350 g
En Minuto Verde elaboramos alimentos saludables, prácticos, ricos y nutritivos. Buscamos permanentemente la innovación y trabajamos con los más altos estándares de calidad. 
Somos una empresa sustentable, respetuosa del medioambiente, entregando a nuestros colaboradores un grato clima laboral, inclusivo y oportunidades de desarrollo profesional.
En la actualidad Minuto Verde, marca perteneciente a Alifrut es la compañía que posee la mayor capacidad de producción de hortalizas y frutas congeladas en Latinoamérica. Además de la mayor capacidad de almacenaje en frío del país (-18°C).",Betarraga,1
241,Helado coffee 1.42 L,https://www.jumbo.cl/helado-turkey-hill-coffee-1-42-l/p,$4.699,$5.399,Helados Mix Sabores,"Trukey Hill trae los mejores helados con ingredientes naturales. En esta ocasión, un delicioso helado de café directamente desde Colombia","Leche,  Crema,  Azúcar,  Jarabe de maíz,  Suero de leche,  Leche descremada,  Café,  Gel de celulosa,  Goma de celulosa,  Mono y diglicéridos de los ácidos grasos,  Carragenina",1
242,Pizza listo congelada jamón queso 465 g,https://www.jumbo.cl/pizza-pf-listo-congelada-jamon-queso-465-g/p,$3.590,$4.390,Pizzeta Napolitana,"La deliciosa Pizza Jamón- Queso es entre las clásicas, un éxito seguro en cada ocasión. Con una buena base crujiente, sabroso mozzarella y el mejor jamón artesanal, para otorgar un especial y característico sabor. Presentamos la auténtica pizza fresca, ideal para ser consumida en cualquier momento del día.","Harina de trigo (gluten),  Queso mozzarella,  Agua,  Jamón,  Salsa de tomates,  Aceite de soya,  Sal,  Azúcar,  Leche en polvo,  Aceite de oliva,  Levadura,  Aceite de maravilla,  Aceite de canola,  Orégano,  Polifosfato de sodio,  Carbonato de sodio,  L-cisteína",1
243,Pizza Listo congelada pepperoni 430 g,https://www.jumbo.cl/pizza-pf-listo-congelada-pepperoni-430-g/p,$3.590,$4.390,Pizza Pepperoni,Delicioso sabor. Elaborado en base a los más selectos ingredientes. Ideal para todas tus preparaciones y platos favoritos.,"Harina de trigo (gluten),  Queso mozzarella,  Agua,  Carne de cerdo,  Salsa de tomates,  Aceite de soya,  Sal,  Azúcar,  Leche en polvo,  Aceite de oliva,  Levadura,  Aceite de maravilla,  Aceite de canola,  Dextrosa,  Orégano,  Polifosfato de sodio,  Carbonato de sodio,  Remolacha,  Pimienta,  Anís,  Nitrito de sodio,  Ají,  Fosfato de potasio,  Oleorresinas de pimentón,  Ajo,  Eritorbato de sodio,  Comino,  L-cisteína,  Nuez moscada,  Ascorbato de sodio,  Cultivos lácticos,  ácido ascórbico,  Palmitato de ascorbilo",1
244,Helado light vainilla 800 ml,https://www.jumbo.cl/helado-light-vainilla-coppelia-800-ml/p,$3.319,$4.149,Helados Mix Sabores,Los helados de Coppelia son sinónimos de calidad. Producto de elaboración artesanal desde 1949. Contiene 800 ml de puro sabor.,"Agua,  Polidextrosa,  Leche descremada,  Sorbitol,  Leche entera,  Mantequilla,  Manteca de palma fraccionada,  Palmitato de ascorbilo,  Estabilizante goma guar,  Estabilizante monoglicéridos destilados,  Estabilizante fosfato tricálcico,  Estabilizante carragenina,  Saborizante artificial,  Sucralosa,  Colorante natural cúrcuma (sin 100),  Colorante natural annato (sin 160b)",1
245,Helado chocolate belga premium 1 L,https://www.jumbo.cl/helado-chocolate-belga-san-francisco-premium-1-l/p,NA,$6.599,Helados Mix Sabores,"Puro helado Súper Premium sabor chocolate belga con chispas de chocolate amargo. Helado de textura suave y mucho cuerpo al llevarlo a la boca, no contiene colorante.","Crema de leche,  Azúcar,  Chocolate,  Masa de cacao,  Manteca de cacao,  Lecitina de soya,  Sabor natural vainilla,  Jarabe de glucosa,  Leche en polvo descremada,  Cacao en polvo,  Huevos,  Monoglicéridos de ácidos grasos,  Diglicéridos de ácidos grasos,  Goma guar,  Goma de algarrobo,  Carragenina,  Leche entera pasteurizada de vaca",1
246,Helado Sahne Nuss Cono Mini Multipack 5x80ml,https://www.jumbo.cl/mini-helados-sahne-nuss-savory-5-unid-x-80-ml-c-u/p,NA,$4.399,Helados Mix Sabores,"Helado Sahne Nuss Cono Mini, es un cremoso helado de leche con chocolate y almendras. Formato multipack 5 unidades de 80ml","Agua,  Harina de trigo,  Azúcar,  Aceite vegetal de palmiste,  Leche entera en polvo,  Almidón de papa,  Saborizante artificial,  Aceite de coco,  Cacao en polvo,  Leche descremada en polvo,  Aceite de canola hidrogenado,  Aceite vegetal de palma,  Almendras,  Jarabe de glucosa,  Manteca de cacao,  Suero de leche en polvo,  Licor de cacao,  Goma guar,  Goma garrofín,  Carragenina,  Lecitina de soya,  ésteres de propilenglicol de ácidos grasos,  Monoglicéridos de ácidos grasos,  Diglicéridos de ácidos grasos,  Colorante caramelo",1
