,Name,Link,Best price,Normal price,Type of product,Description,Ingredients,Available
0,,,,,,,,
1,Hamburguesa vegetal barbikiu riku 200g,https://www.jumbo.cl/hamburguesa-vegetal-barbikiu-riku-200g-1884289/p,$2.550,$3.290,Hamburguesas de Verduras,"Nueva y suculenta hambuerguesa 100% vegetal, de gran sabor y textura. Una preparación culinaria en base a proteína de arveja.","Agua,  Proteína de arvejas,  Aceite de maravilla,  Aceite de coco,  Metilcelulosa,  Almidón de papa,  Sal,  Fibra de cítrico,  Cebolla,  Sabor idéntico al natural,  Color natural extracto de remolacha,  Color natural caramelo natural",1
2,Sucedáneo de salchicha vegana 250 g,https://www.jumbo.cl/salchichas-veganas-rik-250-g/p,$2.090,$2.699,Pizza Vegetariana,"Delicioso Sucedáneo de salchicha vegana 250 g Rikü, libre de ingredientes de origen animal, perfecto para ti. Deleita su increíble sabor.","Gluten vital de trigo,  Proteínas de soya,  Aceite de maravilla,  Sal,  Almidón de papa,  Saborizante idéntico a natural,  Carragenina,  Fibra de cítrico,  Ajo en polvo,  Pimienta blanca,  Extracto de paprika",1
3,Sucedáneo de chorizo vegano 260 g,https://www.jumbo.cl/chorizo-vegano-rik/p,$1.850,$2.299,Pizza Vegetariana,"Delicioso Sucedáneo de chorizo vegano 260 g Rikü, libre de ingredientes de origen animal, perfecto para ti. Deleita su increíble sabor.","Agua,  Proteína de soya,  Proteína de trigo,  Aceite de maravilla,  Trigo mote,  Cebolla,  Pimentón rojo en polvo,  Comino,  Orégano,  Ajo,  Pimienta,  Almidón de papa,  Sal,  Saborizantes naturales vegetales,  Saborizante idéntico al natural,  Cloruro de potasio,  Merkén ahumado,  Goma xanthan,  Perejil,  Colorante extracto de páprika,  Trigo,  Soya",1
4,Hamburguesa de vacuno Mastodonte 185 g,https://www.jumbo.cl/hamburguesa-de-vacuno-la-crianza-bolsa-185-g-mastodonte-2/p,NA,$2.090,Hamburguesas de Vacuno,"Nada se compara, nada se iguala con nuestra hamburguesa Mastodonte, disfruta de 185 gramos de carne de vacuno directamente en tu plato, cocínala a la parrilla o al sartén, da igual porque su gran e inmenso sabor llegará directamente a tu paladar.","Carne de vacuno,  Agua,  Maltodextrina,  Cloruro de potasio,  Fibra vegetal,  Sal,  Tripolifosfato de sodio,  Glutamato monosódico,  Saborizante natural,  Tetrapirofosfato de sodio,  Cloruro de sodio,  Eritorbato de sodio,  Citrato de sodio,  Extracto de levadura,  Proteína de soya,  Aromatizante natural e idéntico al natural,  Pimienta,  Bht,  Soya",1
5,Choclo en grano congelado 500 g,https://www.jumbo.cl/choclo-en-grano-congelado-500-g-cuisine-and-co-1763677/p,NA,$1.790,Choclo,"Choclo en grano 100% natural y sin preservantes. Cosechado en su punto óptimo de maduración y congelados mediante sistema iqf (individual quick frozen), sometidos a rigurosas selecciones para asegurar la mejor calidad.",Granos de choclo supercongelados,1
6,Choclo tierno 400 g,https://www.jumbo.cl/choclo-la-crianza-bolsa-400-g-premium-tiernos-congelado-2/p,NA,$2.059,Choclo,Disfruta del delicioso sabor y textura de los choclos tiernos que Delicias del Huerto de La Crianza trae para ti. Un producto elaborado 100% con ingredientes naturales. Mantener en el congelador.,Choclos en granos,1
7,Choclo en granos 500 g,https://www.jumbo.cl/choclo-frutos-del-maipo-bolsa-500-g-congelado-2/p,$1.590,$1.990,Choclo,"Choclo en grano 100% natural y sin preservantes. Cosechado en su punto óptimo de maduración y congelados mediante sistema IQF (Individual Quick Frozen), sometidos a rigurosas selecciones para asegurar la mejor calidad.
Frutos del Maipo, es la mejor alternativa en frutas y hortalizas congeladas debido a que respetan y se preocupan por el medioambiente; Además se aseguran de que los productos cumplan con los más altos estándares de calidad.",Choclo en grano,1
8,Papas pre fritas 1 kg,https://www.jumbo.cl/papas-pre-fritas-1-kg-cuisine-and-co-1861054/p,$2.790,$3.390,Papas Pre Fritas,"Exquisitas papas pre fritas, casi listas para degustar su delicioso sabor. Hornéalas o fríelas, y en un par de minutos ya estarán listas para comer.","Papas,  Aceite vegetal de maravilla",1
9,Papas duquesas 1 kg,https://www.jumbo.cl/papas-duquesas-1-kg-cuisine-and-co-1861055/p,$2.790,$3.490,Papas Duquesas,"Exquisitas papas duquesas, casi listas para degustar su delicioso sabor. Hornéalas o fríelas, y en un par de minutos ya estarán listas para comer.",NA,1
10,Hielo campana 2 kg,https://www.jumbo.cl/hielo-campana-2-kg-cuisine-and-co-1784329/p,NA,$1.399,Hielos,"Sabemos que un buen producto también puede tener un mejor precio, es por esto que te invitamos a descubrir nuestra nueva marca, creada especialmente para esos incansables buscadores del sabor y que valoran la calidad y la innovación, sin tener que pagar de más. Navega en nuestro sitio web y sorpréndete con la fantástica y extensa variedad de productos Cuisine & Co.",Agua potable ablandada filtrada y purificada,1
11,Porotos verdes congelados 350 g,https://www.jumbo.cl/porotos-verdes-congelados-350-g-cuisine-and-co-1763682/p,NA,$1.090,Ensalada de Verduras,Porotos verdes corte francés 100% natural y sin preservantes. Cosechados en su punto óptimo de maduración.,Porotos verdes supercongelados,1
12,Choclo en grano congelado 1 kg,https://www.jumbo.cl/choclo-en-grano-congelado-1-kg-cuisine-and-co-1763678/p,NA,$3.090,Choclo,"Choclo en grano 100% natural y sin preservantes. Cosechado en su punto óptimo de maduración y congelados mediante sistema iqf (individual quick frozen), sometidos a rigurosas selecciones para asegurar la mejor calidad.",Granos de choclo supercongelados,1
13,Arvejas congeladas 500 g,https://www.jumbo.cl/arvejas-congeladas-500-g-cuisine-and-co-1763675/p,NA,$1.790,Base Arverjado,"Arveja 100% natural y sin preservantes. Cosechada en su punto óptimo de maduración, congelados mediante sistema IQF (Individual Quick Frozen) y sometidos a rigurosas selecciones para asegurar la mejor calidad.",Arvejas supercongeladas,1
14,Sofrito con Ajo 150 g,https://www.jumbo.cl/sofrito-minuto-verde-150-g-con-ajo-2/p,NA,$890,Mix de Verduras,"Sofrito con Ajo 150 g es ideal para realizar esa rica preparación que tenías en mente. En Minuto Verde elaboramos alimentos saludables, prácticos, ricos y nutritivos. Buscamos permanentemente la innovación y trabajamos con los más altos estándares de calidad Somos una empresa sustentable, respetuosa del medioambiente, entregando a nuestros colaboradores un grato clima laboral, inclusivo y oportunidades de desarrollo profesional. En la actualidad Minuto Verde, marca perteneciente a Alifrut es la compañía que posee la mayor capacidad de producción de hortalizas y frutas congeladas en Latinoamérica. Además de la mayor capacidad de almacenaje en frío del país (-18°C).","Cebolla cubo,  Zanahoria cubo,  Pimentón cubo,  Ajo cubo",1
15,Choclo 500 g,https://www.jumbo.cl/choclo-minuto-verde-bolsa-500-g-congelado-2/p,NA,$2.090,Choclo,"Choclo 500 g es ideal para realizar esa rica preparación que tenías en mente. En Minuto Verde elaboramos alimentos saludables, prácticos, ricos y nutritivos. Buscamos permanentemente la innovación y trabajamos con los más altos estándares de calidad Somos una empresa sustentable, respetuosa del medioambiente, entregando a nuestros colaboradores un grato clima laboral, inclusivo y oportunidades de desarrollo profesional. En la actualidad Minuto Verde, marca perteneciente a Alifrut es la compañía que posee la mayor capacidad de producción de hortalizas y frutas congeladas en Latinoamérica. Además de la mayor capacidad de almacenaje en frío del país (-18°C).",Choclo en grano tierno seleccionado y congelado por sistema iqf,1
16,Sofrito 150 g,https://www.jumbo.cl/sofrito-frutos-del-maipo-bolsa-150-g-congelado-100-natural-2/p,NA,$890,Mix de Verduras,"La ayuda perfecta para preparar tu comidas. Nueva mezcla de cebolla en cubos, zanahoria en cubos, pimentón rojo, verde y amarillo en cubos. Todos cosechados en su punto óptimo de maduración, congelados mediante sistema IQF (Individual Quick Frozen) y sometidos a rigurosas selecciones para asegurar la mejor calidad.
Contenido: Cebolla, zanahoria, pimentón rojo, pimentón verde y pimentón amarillo, corte cubo.","Cebolla,  Zanahoria,  Pimentón rojo,  Pimentón verde,  Pimentón amarillo",1
17,Helado Savory Piña Cassata 1L,https://www.jumbo.cl/helado-savory-1-l-pina/p,$2.190,$2.999,Helados Mix Sabores,"Helado Savory Piña Cassata, es un refrescante helado de agua sabor piña. Formato 1L","Agua,  Azúcar,  Jarabe de glucosa,  Gelatina,  Goma garrofín,  Goma guar,  ácido cítrico,  Proteína de leche,  Saborizante artificial",1
18,Hamburguesas vacuno light caja 10 un. 1 kg,https://www.jumbo.cl/hamburguesas-la-crianza-de-vacuno-light-la-crianza-10-unid/p,NA,$10.890,365 días,"La mejor hamburguesa light 100% de vacuno, seleccionada para ti y tu familia, puedes disfrutarla recién salida del sartén, al horno o la parrilla y tiene solo 150 calorías.","Carne de vacuno,  Agua,  Proteína de vacuno,  Maltodextrina,  Fibra vegetal,  Sal,  Cloruro de potasio,  Polifosfatos de sodio,  Glutamato monosódico,  Saborizante idéntico a natural,  Eritorbato de sodio,  Citrato de sodio,  L- cisteína,  Pimienta,  Inosinato de sodio,  Guanilato de sodio,  Antioxidante bht",1
19,Pasta de choclo 1 kg,https://www.jumbo.cl/pasta-de-choclo-frutos-del-maipo-bolsa-1-kg-congelado/p,$3.590,$4.590,Pasta de Choclo,"Pasta de choclo sin azúcar añadida, para que la puedas preparar como acompañamiento o en un rico pastel de choclo. Lista en 10 minutos, contiene 8 porciones. Frutos del Maipo, es la mejor alternativa en frutas y hortalizas congeladas debido a que respetan y se preocupan por el medioambiente; Además se aseguran de que los productos cumplan con los más altos estándares de calidad.","Choclo grano,  Agua,  Aceite de maravilla,  ácido cítrico,  Dimetilpolisiloxano,  Albahaca,  Sal,  Almidón de maíz modificado",1
20,Mozzarella sticks congelados 270 g,https://www.jumbo.cl/mozzarella-sticks-congelados-270-g-cuisine-and-co-1843961/p,NA,$2.490,Queso Mozzarella,"Sabemos que un buen producto también puede tener un mejor precio, es por esto que te invitamos a descubrir nuestra nueva marca, creada especialmente para esos incansables buscadores del sabor y que valoran la calidad y la innovación, sin tener que pagar de más. Navega en nuestro sitio web y sorpréndete con la fantástica y extensa variedad de productos Cuisine & Co.","Pan rallado,  Queso mozzarella,  Agua,  Aceite de girasol,  Harina de trigo,  Hierro,  ácido fólico,  Tiamina,  Riboflavina,  Niacina,  Almidón de maíz,  Leche en polvo,  Sal,  Cebolla en polvo,  Ajo en polvo,  Nuez moscada,  Pimienta blanca,  Derivados de trigo,  Derivados de leche",1
21,Sofrito apio tomate 150 g,https://www.jumbo.cl/sofrito-apio-tomate-150-g/p,NA,$850,Mix de Verduras,"Ingredientes: apio, tomate, cebolla, zanahoria. Sirve para preparar y resaltar sabores en guisos, Legumbres y Carnes. 100% natural y sin preservantes.","Cebolla,  Tomate,  Apio,  Zanahoria",1
22,Hamburguesa vegana 100 g,https://www.jumbo.cl/hamburguesa-vegana-100-g/p,NA,$1.550,Hamburguesas de Verduras,"Es ese olor y sabor que te hace agua la boca, esa textura al morder y ese inolvidable ?mmmh?, al probarla, de una hamburguesa pero está hecha en base a plantas. Por eso decimos que es Burger pero NOT.","Agua,  Proteína de arveja,  Manteca de coco,  Aceite de girasol,  Fibra de bambú,  Fibra de psyllium,  Fibra de papa,  Saborizantes naturales,  Metilcelulosa,  Levadura nutricional,  Proteína de arroz,  Cacao en polvo,  Rojo de remolacha,  Sal,  Proteína de chía,  Espinaca deshidratada en polvo",1
23,Frutilla congelada 500 g,https://www.jumbo.cl/frutilla-congelada-500-g-cuisine-and-co-1823096/p,NA,$2.699,Mix de Frutas,"Sabemos que un buen producto también puede tener un mejor precio, es por esto que te invitamos a descubrir nuestra nueva marca, creada especialmente para esos incansables buscadores del sabor y que valoran la calidad y la innovación, sin tener que pagar de más. Navega en nuestro sitio web y sorpréndete con la fantástica y extensa variedad de productos Cuisine & Co.",Frutillas,1
24,Arándanos congelado 400 g,https://www.jumbo.cl/arandanos-congelado-400-g-cuisine-and-co-1823094/p,NA,$3.090,Arándanos,"Sabemos que un buen producto también puede tener un mejor precio, es por esto que te invitamos a descubrir nuestra nueva marca, creada especialmente para esos incansables buscadores del sabor y que valoran la calidad y la innovación, sin tener que pagar de más. Navega en nuestro sitio web y sorpréndete con la fantástica y extensa variedad de productos Cuisine & Co.",Arándanos,1
25,Mix primavera congelada 500 g,https://www.jumbo.cl/mix-primavera-congelada-500-g-cuisine-and-co-1763681/p,NA,$1.790,Mix de Verduras,"Miz primavera congelada, contiene arvejas, papas y zanahoria. 100% ingredientes naturales. Cocción de 8 a 10 minutos. Cantidad para 6 porciones aprox.","Poroto verde,  Choclo en granos,  Arvejas,  Zanahoria en cubos",1
26,Habas congeladas 500 g,https://www.jumbo.cl/habas-congeladas-500-g-cuisine-and-co-1763679/p,NA,$1.690,Habas,Habas 100% natural de Cuisine & Co sin preservantes. Cosechadas en su punto óptimo de maduración.,Habas supercongeladas,1
27,Cebolla picada congelada 250 g,https://www.jumbo.cl/cebolla-congelada-250-g-cuisine-and-co-1763676/p,NA,$849,Cebollas,"Prepara tus mejore recetas con la cebolla picada, práctico congelado de Cuisine & Co, un vegetal con un gran valor nutritivo y medicinal.",Cebolla en cubos supercongelados,1
28,Cebolla en cubos 150 g,https://www.jumbo.cl/cebolla-en-cubos-frutos-del-maipo-150-g/p,NA,$690,Cebollas,"Descongela y prepara tus hortalizas, vegetales y frutas favoritas cómo y cuándo quieras. Degusta su increíble sabor cómo si hubiesen sido recién cosechadas.",Cebolla,1
29,Helado Mega Mini Frambuesa Multipack 5x60ml,https://www.jumbo.cl/mini-mega-frambuesa-savory-5-unid-x-60-ml-c-u/p,NA,$4.399,Helados Mix Sabores,"Helado Mega Mini Frambuesa, es un irresistible helado de leche sabor frambuesa con jarabe de frambuesa y cobertura de chocolate. Formato multipack 5 unidades de 60ml","Agua,  Leche entera en polvo,  Azúcar,  Aceite de palma,  Manteca de cacao,  Masa de cacao,  Cacao,  Emulsionante lecitina de soya,  Saborizantes artificiales,  Crema de leche,  Pulpa de frambuesa,  Espesante goma xantán,  Preservante sorbato de potasio,  Regulador de acidez ácido cítrico,  Colorante natural carmín de cochinilla,  Suero de leche en polvo,  Jarabe de glucosa,  Leche descremada en polvo,  Emulsionante ésteres de propilenglicol de ácidos grasos,  Emulsionante mono y diglicéridos de ácidos grasos,  Espesante goma guar,  Espesante carragenina",1
30,Zapallo en cubos 500 g,https://www.jumbo.cl/zapallo-en-cubos-minuto-verde-500-g-2/p,NA,$1.790,Mix de Verduras,"Zapallo en cubos 500 g es ideal para realizar esa rica preparación que tenías en mente. En Minuto Verde elaboramos alimentos saludables, prácticos, ricos y nutritivos. Buscamos permanentemente la innovación y trabajamos con los más altos estándares de calidad Somos una empresa sustentable, respetuosa del medioambiente, entregando a nuestros colaboradores un grato clima laboral, inclusivo y oportunidades de desarrollo profesional. En la actualidad Minuto Verde, marca perteneciente a Alifrut es la compañía que posee la mayor capacidad de producción de hortalizas y frutas congeladas en Latinoamérica. Además de la mayor capacidad de almacenaje en frío del país (-18°C).",Zapallo,1
31,Poroto verde corte francés 350 g,https://www.jumbo.cl/poroto-verde-corte-frances-minuto-verde-350-g/p,$1.390,$1.859,Mix de Verduras,"Poroto verde corte francés 350 g es ideal para realizar esa rica preparación que tenías en mente. En Minuto Verde elaboramos alimentos saludables, prácticos, ricos y nutritivos. Buscamos permanentemente la innovación y trabajamos con los más altos estándares de calidad Somos una empresa sustentable, respetuosa del medioambiente, entregando a nuestros colaboradores un grato clima laboral, inclusivo y oportunidades de desarrollo profesional. En la actualidad Minuto Verde, marca perteneciente a Alifrut es la compañía que posee la mayor capacidad de producción de hortalizas y frutas congeladas en Latinoamérica. Además de la mayor capacidad de almacenaje en frío del país (-18°C).",Porotos verdes tiernos seleccionados y congelados,1
32,Arvejas tiernas 400 g,https://www.jumbo.cl/arvejas-tiernas-la-crianza-bolsa-400-g-congelado-premium-2/p,NA,$2.090,Base Arverjado,Arvejas tiernas congeladas elaboradas con ingredientes naturales. Útiles y muy versátiles en distintas preparaciones. Envase 100% reciclable.,"Arvejas,  Arvejas tiernas",1
33,Mix de Pimentones 150 g,https://www.jumbo.cl/mix-de-pimentones-frutos-del-maipo-bolsa-150-g-congelados-2/p,NA,$1.050,Mix de Verduras,"Mix de Pimentón rojo, verde y amarillo en tiras 100% natural y sin preservantes. Cosechados en su punto óptimo de maduración, congelados mediante sistema IQF (Individual Quick Frozen) y sometidos a rigurosas selecciones para asegurar la mejor calidad. Frutos del Maipo, es la mejor alternativa en frutas y hortalizas congeladas debido a que respetan y se preocupan por el medioambiente; Además se aseguran de que los productos cumplan con los más altos estándares de calidad.","Pimentón verde,  Pimentón rojo,  Pimentón amarillo",1
34,Ensalada Primavera  bolsa 500 g,https://www.jumbo.cl/ensalada-primavera-frutos-del-maipo-bolsa-500-g-congelado/p,$1.590,$1.990,Ensaladas,"Ensalada primavera con choclo en grano, arveja, poroto verde y zanahoria 100% natural y sin preservantes. Todos los ingredientes son cosechados en su punto óptimo de maduración, congelados mediante sistema IQF (Individual Quick Frozen) y sometidos a rigurosas selecciones para asegurar la mejor calidad.
Frutos del Maipo, es la mejor alternativa en frutas y hortalizas congeladas debido a que respetan y se preocupan por el medioambiente; Además se aseguran de que los productos cumplan con los más altos estándares de calidad.","Zanahoria,  Choclo grano,  Poroto verde,  Arveja",1
35,Papas Pre fritas 1 kg,https://www.jumbo.cl/papas-prefritas-minuto-verde-1-kg/p,NA,$4.790,Papas Pre Fritas,"Papas Pre fritas 1 kg es ideal para realizar esa rica preparación que tenías en mente. En Minuto Verde elaboramos alimentos saludables, prácticos, ricos y nutritivos. Buscamos permanentemente la innovación y trabajamos con los más altos estándares de calidad Somos una empresa sustentable, respetuosa del medioambiente, entregando a nuestros colaboradores un grato clima laboral, inclusivo y oportunidades de desarrollo profesional. En la actualidad Minuto Verde, marca perteneciente a Alifrut es la compañía que posee la mayor capacidad de producción de hortalizas y frutas congeladas en Latinoamérica. Además de la mayor capacidad de almacenaje en frío del país (-18°C).","Papas seleccionadas,  Aceite vegetal de palma,  Dextrosa",1
36,Papas Duquesas 1 kg,https://www.jumbo.cl/papas-duquesas-minuto-verde-1-kg/p,NA,$4.990,Papas Duquesas,"Papas Duquesas 1 kg es ideal para realizar esa rica preparación que tenías en mente. En Minuto Verde elaboramos alimentos saludables, prácticos, ricos y nutritivos. Buscamos permanentemente la innovación y trabajamos con los más altos estándares de calidad Somos una empresa sustentable, respetuosa del medioambiente, entregando a nuestros colaboradores un grato clima laboral, inclusivo y oportunidades de desarrollo profesional. En la actualidad Minuto Verde, marca perteneciente a Alifrut es la compañía que posee la mayor capacidad de producción de hortalizas y frutas congeladas en Latinoamérica. Además de la mayor capacidad de almacenaje en frío del país (-18°C).","Papas,  Aceite vegetal de palma,  Sal,  Dextrosa,  Metilcelulosa,  Hidroxipropil metilcelulosa,  Pimienta,  Cúrcuma",1
37,Helado Chocolito Mini Multipack 10x50ml,https://www.jumbo.cl/multipack-savory-pack-10-unid-50-cc-cu-mini-chocolito/p,NA,$3.729,Helados Mix Sabores,"Helado Chocolito Mini, es un delicioso helado de leche con cobertura sabor chocolate. Formato multipack 10 unidades de 50ml","Agua,  Aceite vegetal de palma,  Galato de propilo,  Palmitato de ascorbilo,  Azúcar,  Manteca de cacao,  Cacao en polvo,  Leche entera en polvo,  Lecitina de soya,  Jarabe de glucosa,  Suero de leche en polvo,  Leche descremada en polvo,  ésteres de propilenglicol de ácidos grasos,  Mono y diglicérido de ácidos grasos,  Triestearato de sorbitán,  Goma guar,  Carragenina,  Saborizantes artificiales",1
38,Hamburguesas vacuno caja 10 un. 1 kg,https://www.jumbo.cl/hamburguesa-la-crianza-de-vacuno-10-unid/p,NA,$10.890,Hamburguesas de Vacuno,"Hamburguesa de carne 100% vacuno suavemente condimentadas, ideal para prepararlas a la parrilla o al sartén.","Carne de vacuno,  Agua,  Proteína de vacuno,  Maltodextrina,  Cloruro de potasio,  Fibra vegetal,  Sal,  Tripolifosfato de sodio,  Glutamato monósodico,  Saborizante natural,  Tetrapirofosfato de sodio,  Eritorbato de sodio,  Citrato de sodio,  Pimienta,  Bht",1
39,Pasta de choclo 1 kg,https://www.jumbo.cl/pasta-de-choclo-minuto-verde-bolsa-1-kg-congelado/p,NA,$4.090,Pasta de Choclo,"Pasta de choclo 1 kg es ideal para realizar esa rica preparación que tenías en mente. En Minuto Verde elaboramos alimentos saludables, prácticos, ricos y nutritivos. Buscamos permanentemente la innovación y trabajamos con los más altos estándares de calidad Somos una empresa sustentable, respetuosa del medioambiente, entregando a nuestros colaboradores un grato clima laboral, inclusivo y oportunidades de desarrollo profesional. En la actualidad Minuto Verde, marca perteneciente a Alifrut es la compañía que posee la mayor capacidad de producción de hortalizas y frutas congeladas en Latinoamérica. Además de la mayor capacidad de almacenaje en frío del país (-18°C).","Choclo,  Aceite vegetal de soya,  Aceite de maravilla,  ácido cítrico,  Tbhq,  Azúcar,  Albahaca,  Cloruro de sodio,  Soya",1
40,Nuggets de pollo congelado bolsa 400 g,https://www.jumbo.cl/nuggets-de-pollo-super-pollo-congelado-bolsa-400-g/p,$1.890,$2.459,Nuggets de Pollo,"Nuggets de pollo 1 kg
Los mejores amigos del ketchup y la mostaza. ¡Prepáralos al horno y sorprende de una manera diferente a tus hijos! Disfrútalo en sus versiones de 400 gr, 1 kg y 2,5 kg.","Carne de pollo,  Agua,  Harina de trigo,  Proteína de soya concentrada,  Aceite vegetal maravilla,  Aceite vegetal soya,  Maltodextrina,  Sal,  Tripolifosfato de sodio,  Glutamato monósodico,  Cebolla deshidratada,  Saborizante idéntico a natural,  Eritorbato de sodio,  Ajo deshidratado,  Almidón modificado de maíz,  Pimienta negra,  Colorante natural annato,  Antioxidante bht,  Saborizante natural",1
41,Nuggets de pollo 1 kg,https://www.jumbo.cl/nuggets-de-pollo-super-pollo-bolsa-1-kg-2/p,$3.890,$5.290,Nuggets de Pollo,"Nuggets de pollo 1 kg
Los mejores amigos del ketchup y la mostaza. ¡Prepáralos al horno y sorprende de una manera diferente a tus hijos! Disfrútalo en sus versiones de 400 gr, 1 kg y 2,5 kg.","Carne de pollo,  Agua,  Harina de trigo,  Proteína de soya concentrada,  Aceite vegetal maravilla,  Aceite vegetal soya,  Maltodextrina,  Sal,  Tripolifosfato de sodio,  Glutamato monósodico,  Cebolla deshidratada,  Saborizante idéntico a natural,  Eritorbato de sodio,  Ajo deshidratado,  Almidón modificado de maíz,  Pimienta negra,  Colorante natural annato,  Antioxidante bht,  Saborizante natural",1
42,Nuggets de pollo 400 g,https://www.jumbo.cl/nuggets-de-pollo-la-crianza-400-g/p,NA,$3.190,Nuggets de Pollo,"Ricos Nuggets elaborados con 100% pechuga premium de pollo, ideal para freir y acompañar con salsas de libre elección.","Pechuga de pollo,  Harina de trigo,  Agua,  Aceite de maravilla,  Aceite de soya,  Almidón de maíz,  Maltodextrina,  Sal,  Dextrosa,  Emulsionante ins 471,  Proteína de soya,  Almidón modificado de maíz,  Glutamato monósodico,  Cebolla,  Ajo,  Saborizante idéntico natural,  Colorante natural curcumina,  Eritorbato de sodio,  Antioxidante bht",1
43,Mix de berries 400 g,https://www.jumbo.cl/mix-de-berries-frutos-del-maipo-400-g-congelado-2/p,NA,$3.449,Mix de Frutas,"Mix de mora, arándano, frutilla y frambuesa que por cada porción aporta una excelente fuente de vitamina C y buena cantidad de fibra. Perfecto para jugos, batidos y repostería. Envase 100% reciclable.","Mora,  Arándano,  Frutilla,  Frambuesa",1
44,Frambuesa bañada en chocolate con leche y blanco 150 g,https://www.jumbo.cl/frambuesa-banada-en-chocolate-blanco-amargo-150-g/p,NA,$4.599,Helados con Frutas,"Las Franui son deliciosas frambuesas provenientes de la Patagonia, seleccionadas y clasificadas a mano, bañadas con delicioso chocolate RapaNui. Para preservar el sabor no utilizamos conservantes, ni colorantes, ni esencias artificiales, sólo productos genuinos para garantizar su frescura y la mejor calidad. El contraste entre la frescura de la fruta y la cremosidad del doble baño de chocolate hacen que sea una combinación irresistible para cualquier paladar, sobre todo para aquellos que deseen experimentar algo único. Alimento libre de gluten.","Frambuesas,  Azúcar,  Leche en polvo,  Manteca de cacao,  Emulsionante lecitina de soya (ins 322),  Aromatizante vainillina,  Masa de cacao,  Leche,  Derivado de soya",1
45,Not Burger Chicken 100 g,https://www.jumbo.cl/not-burger-chicken-100g/p,NA,$1.550,Hamburguesas de Verduras,"Es ese olor y sabor que te hace agua la boca, esa textura al morder y ese inolvidable “mmmh”, al probarla, de una hamburguesa,. Pero está hecha de plantas, por eso decimos que es Burger pero NOT. Procesada en líneas que puede contener trazas de soya y leche.","Agua,  Aceite de girasol,  Proteína de arveja,  Proteína de haba,  Metilcelulosa,  Gluten de trigo,  Harina de garbanzo,  Saborizantes naturales,  Fibra de bambú,  Fibra de trigo,  Sal,  Choclo deshidratado en polvo,  Durazno deshidratado en polvo,  Gluten",1
46,Nuggets Plan Based 300 g,https://www.jumbo.cl/nuggets-chicken-free-la-crianza-300g-1866746/p,NA,$3.290,240 días,"Nuggets en base a proteínas y fibras vegetales, empanizados, cocidos y congelados, de origen nacional. Sin marinar.","Agua,  Harina de trigo,  Aceite de maravilla,  Proteína aislada de soya,  Aceite de soya,  Almidón de trigo,  Gluten de trigo,  Saborizante idéntico al natural,  Fibra de bambú,  Papa deshidratada,  Levadura,  Fibra de trigo,  Almidón modificado de maíz,  Sal,  Cloruro de potasio,  Maltodextrina,  Saborizante natural,  ácido cítrico,  Mono y diglicéridos de ácidos grasos,  Difosfatos,  Cúrcuma,  Sulfito ácido de sodio,  Metabisulfito de sodio,  Especies,  Extracto de romero,  ácido ascórbico,  Soya,  Gluten",1
47,Nuggets de pollo Ready 400 g,https://www.jumbo.cl/nuggets-de-pollo-ready-400-g-cuisine-and-co-1850676/p,NA,$2.490,Nuggets de Pollo,"Deliciosa Nuggets de pollo, perfectas para ese rico almuerzo que tanto les gusta a los integrantes de tu hogar.",NA,1
48,Frambuesas 250 g,https://www.jumbo.cl/frambuesa-frutos-del-maipo-250g-902039/p,NA,$2.950,Mix de Frutas,"Refréscate de forma natural con Frutos del Maipo. Frambuesas 100% naturales sin preservantes, cosechadas en su punto óptimo.",Frambuesa,1
49,Mix berries congelado 400 g,https://www.jumbo.cl/mix-berries-congelado-400-g-cuisine-and-co-1823095/p,NA,$3.590,Mix de Frutas,"Sabemos que un buen producto también puede tener un mejor precio, es por esto que te invitamos a descubrir nuestra nueva marca, creada especialmente para esos incansables buscadores del sabor y que valoran la calidad y la innovación, sin tener que pagar de más. Navega en nuestro sitio web y sorpréndete con la fantástica y extensa variedad de productos Cuisine & Co.","Frutillas enteras,  Moras cultivadas,  Frambuesas,  Arándanos",1
50,Frambuesa congelada 400 g,https://www.jumbo.cl/frambuesa-congelada-400-g-cuisine-and-co-1823093/p,NA,$4.790,Helados con Frutas,"Sabemos que un buen producto también puede tener un mejor precio, es por esto que te invitamos a descubrir nuestra nueva marca, creada especialmente para esos incansables buscadores del sabor y que valoran la calidad y la innovación, sin tener que pagar de más. Navega en nuestro sitio web y sorpréndete con la fantástica y extensa variedad de productos Cuisine & Co.",Frambuesas,1
